,med_sentence
1355,"I do not think I would date an unmedicated woman either, but I also know that a lot of the medications have quite severe side effects that could make the bipolar person emotionally unresponsive and dull, which is still better than being off meds but much worse than a neurotypical person."
1356,I just want to know how medication has gone for you guys here?
1357,How many times did you have to swap meds until you found the right one?
1358,How does it compare to being off the meds?
1359,And I know that a common medication for the disease does sort of the opposite of a DRI.
1360,He will not take any other medicine prescribed because he thinks it will give him cancer.
1361,He's convinced that marijuana is the only medicine that will help him.
1362,"We tried to at least get him to take that long release medicine shot, but he has to consent and refuses to do it each time hes been hospitalized."
1363,"Though he seems more stable in there, he quits taking his meds the day he gets out of the hospital."
1364,"We've been able to get him to take his meds for about 3 whole weeks almost 2.5 years ago, and were lucky now to have him take them 2 days in a row when he actually agrees to get prescribed them."
1365,"He refuses all medication except marijuana and occasionally a 'benzo', except every time he gets marijuana, he believes its been tampered with."
1366,"(I think this is bc he doesn't get a desired result, so someone had to have messed with it) All other medications he's convinced will kill him quickly."
1367,He thinks has anxiety and refuses all treatment and medications.
1368,"They've tried multiple medications on her, and nothing seems to work."
1369,"I'm just so done, it is so hard to remember to take my medicine, I have a pill sorter things that has a lot of colors on it."
1370,How do you remind yourself to take your medicine?
1371,"Anyway, after that, I never talked about these sypmtomes again and talked about anxiety, depression and things like that, I got medication and actually, even though I wasn´t treated for it, my schizophrenic sympotomes became much weaker."
1372,"I can´t take my meds, because I can´t afford them and because my finances are so bad that I want to donate blood, which I can´t while being on meds..."
1373,"These are some studies that I found to help me find out: [Here](http://www.schizophrenia.com/szresearch/archives/001061.html) is a study that suggests nicotine helps with our ability to process information, cognitive function, and reduce the side affects of medication."
1374,He needs to stay at his father's house and take his medication.
1375,"Both my therapist and my physc are aware of this, they've been aware since I had to go to a partial program in October because I was seriously thinking of killing myself (wherein they changed my meds to a relatively high dose of Effexor and something I cant remember the name of for sleep."
1376,"He had NO symptoms during the day (now that his medications are straightened out) but smoking causes him to be more delusional (as in the tv and music is speaking specifically to him) and hear some of the voices again, so I'm not sure it's a great trade off."
1377,He was under various medications (small doses) for the past two years.
1378,We realize he needs to be under medication all his life but is there hope that he can take care of himself?
1379,Anyone have a similar experience with meds?
1380,I stopped taking medicine for my anxiety and depression (Cymbalta and Vistaril) because Cymbalta gave me the shits and made me feel drunk while Vistaril made me sleepy.
1381,"I called a hotline and they sent emergency response people who basically said I can't get any help or be evaluated without parent consent and they don't want me to since they think medicine will make me ""slow""."
1382,I'm patiently waiting to gradually have my meds reduced and am hoping to one day be completely off meds and not have any symptoms.
1383,He has told me that he is schizophrenic and takes his meds every morning and every night.
1384,"Since then, she has put on a considerable amount of weight, became very depressed and started taking medication to battle her problems."
1385,"When she would take her medication, mainly Zyprexa(sp?)"
1386,"she would be just fine and return to normal, engaging in conversations, cleaning the house and taking care of things, however, lately her medication hasn't been working and she just wanders around the house, looking for something to do."
1387,I have a friend in his early 20's who suddenly stopped taking his medication without informing his doctors.
1388,What can I do to convince him to go back on his medications and stay on them?
1389,I talked to my psychiatrist today about it and he said it could be a side effect from the medication I'm on or my illness.
1390,"It seems like a lot of what I read shows that professionals don't know the difference on many issues whether it's a side effect of the medication or the illness, but shouldn't they know."
1391,"I feel so lonely, really lonely, I never felt it this bad before the meds well, I actually liked being lonely before."
1392,"I think the meds are making me agitated and restless and ugh, just, worse?"
1393,"For those of you who have taken meds or are on them now, how well do they work?"
1394,"My symptoms have been worse lately, but I'm also starting a new job in September so I don't know if now's a good time to try out a new medication, especially if it requires a blood test once a week."
1395,"After her layoff, my mom offered to pay for her health insurance but she said she was feeling great and didn't need medication."
1396,She stopped taking the medications and then the spiral continued.
1397,I want to help my aunt and I feel that she should take the medications that turned her back to her normal self.
1398,"But even then I don't want anyone to know it besides a few people
I'm not sure what I want
I want to not pretend but if I weren't what would be the point I mean hell
But at the same time people don't understand me like they think I'm fine or I'll get better but I'm barely able to hide how much I want to shout and scream and break things and kick and punch and shit and it's not changing and if it were to start to or I'd have to take medicine or something I'd go crazy I can't live like that"
1399,She is refusing all her medications and and is starting to slip medically.
1400,My wife has POA for health issues so hopefully we can force her to take meds.
1401,Can she live on her own successfully with medication or will we have to be watching over her constantly?
1402,"I'm not any medication at the moment, much too scared to be on anti-psychotics."
1403,Do you think it has something to do with medication?
1404,"I am not sure how well the medications are working, I hear voices inside and outside, however, I hear the inside voices much less frequently."
1405,"This is aided by the fact that I do not own a firearm, and I am not given large doses of medication."
1406,"I even here my neighbors talking about my current doctor, the medications I take, and my former doctors."
1407,"I just take the medication, sometimes I think the other things are a waste of time."
1408,"I am on medications now so my symptoms have decreased some, but not a lot."
1409,"flash forward a couple years, 2 other medications, and a new doctor and I'm back on it but at a higher dose and this time in shot form once a month."
1410,i have not found a medication that works and haven't been taking anything lately.
1411,"He had a few years in which it was in remission, during that time he went off meds."
1412,"I talked to him yesterday about getting treatment, and he was very resistant to the idea of medication."
1413,Does anyone know of successful treatment options that don't involve medication?
1414,I stopped taking the meds because I didn't like how stupid they made me feel.
1415,"The first thing they told me was that, since I've tried so many medications and have been hospitalized so many times I probably need residential care."
1416,Im going to get put on meds today too.
1417,"How do I function, given meds aren't an option yet?"
1418,"She asked me what meds I'm on and if I'd like to stay on them or follow a ""rigorous health balance holistic approach."""
1419,"I think if I could stay on meds AND do holistic it might be worth it, especially if I can get off these anti-psychotis..."
1420,"I'm terrified of taking meds for my disorder, since when I did my weight got over 400 pounds (my schizophrenic cousin did as well and died of heart failure), and I couldn't even think or function (I'm 200 pounds lighter now)."
1421,"There's also other paranoid things about the meds I'm scared of, but I don't wanna get into that."
1422,"I can't cope with all this, but I can't deal with the side-effects of the meds."
1423,Can anyone give me some tips or meds recommendations for reducing neg symptoms?
1424,"Even though my symptoms have been reduced greatly by medication to the point where I can function normally, I still have some flashbacks to the delusions (and other beliefs) I used to have/still have."
1425,"I'm undiagnosed something, I don't have the money for a doctor or medication, and I'm really too full of myself to degrade my own image to ask for advice from people that know me."
1426,But the thing is I wanna be off meds when I do it.
1427,"I wanna be off meds for good, and I think changing my diet, exercising at least once a week since now I do nothing, could really change and help me."
1428,The worst part of my meds is that they increase appetite or make me gain weight as its own side effect.
1429,"That's a big part of why I want to stop meds, that and the side effect of throwing up after I take them every now and then."
1430,I haven't been very consistent with my meds lately.
1431,Then I'm gonna try and get the psychiatrist to agree with me that this is worth a shot to try without meds.
1432,"If anyone has experienced therapy, hospitilization, medications, that have helped you please give me advice because I hate visiting home now and as cold as it may seem it feels as though she died when she started having episodes because as a person she is broken."
1433,"A friend of mine whom I have known for around a decade has recently been going through some major depression, abusing alcohol (while on medication) and contemplating suicide has recently been scaring me with his actions."
1434,"TL;DR: I don't think medication should be the ONLY tool my SO is using, but our therapist doesn't seem to be decent enough to prescribe cognitive treatments/exercises and acts more like a confessional that throws out positive affirmations occasionally."
1435,I just really want to know what has worked for you or a loved one BEYOND medication.
1436,"I don't think medication is enough, but unless we can afford to pay like $100-200 a session, I can't seem to find a therapist for him that agrees with me."
1437,"He is under care of a ""professional"" and on psychiatrist prescribed medication, so I'm not seeking this advice as his only treatment plan."
1438,"A friend has schizophrenia, has been previously committed for a week, was on medication but stopped taking it."
1439,"He refuses to take medicine or go to therapy, and any time we suggest anything like that, he becomes more distant and distrustful of us."
1440,"Me, I'm not that kind, nowadays I use an injection type of medicine monthly and I used to think in my hardcore psychosis that I have telepathic abilities and superpowers like an ability to manipulate people etc but I was a lot on drugs in my past and drugs triggered my schizophrenia."
1441,"I'm on a number of medications, mentionably Risperidone, Divaloprex, and Lamictal."
1442,I am constantly being switched on and off medications and unrelenting paranoia is not reason enough to drop out and seek full-time help.
1443,"I was wondering that because the medications used for schizophrenia right now aren't exactly the best (albeit they are better than the very old style antipsychs), do you think they'll be new antipsychotics in the next 10-15 years, or are there already some in the making?"
1444,"I'm not as in control as I was on the meds, but I seem to be safe for society for the time being."
1445,"Especially being on the medicine, how will they know if I'm nearly symptomless because of the medicine."
1446,My questions are:  (1) Can she refuse to take medication?
1447,I think with my medicine I'm becoming more aware.
1448,"For those who do not take medication (if anyone) or are medicated, what are some control techniques you use?"
1449,"I don't know if it's side effects of medication, because these happen so often."
1450,I feel as though the meds are working to good and i want to hear my voices and have my delusions again!!
1451,With my previous medication (Amisulpride 200mg) I slept 12 hours a day on average.
1452,"I'm on medication now, going on day three of it."
1453,"Here's what gets me, he's dodging the subject of diagnosis and has got me on particular meds."
1454,"The exact description in the warning packet for Risperidone states ""This medicine is an atypical antipsychotic used to treat schizophrenia or bipolar disorder"" it also says a doctor may give you it for other reasons though."
1455,Standard (from what I skimmed on here) medication for people with Schizophrenia.
1456,"When I was in high school I got my first job and started supporting her financially by putting food in the fridge for her, now I'm paying for medications, making sure she's bringing up symptom changes with her mental health physician, and still assisting her in other was financially."
1457,"Both of us are really off-put by the idea of a number of reasons (newness, it seems like the new pharma-rep push, the concentration of medication in the bloodstream over the month, how he'll be able to sleep if the medication isn't being taken nightly, if it'll make him a zombie like the seroquel did, etc), and the information I've been reading from clinical trials hasn't really done anything to convince me otherwise."
1458,"So last night I got bored at asked people if they were stuck on an island with a schizophrenic off their meds and a rapist and they had to trust one to get off, who would they trust."
1459,"**Schizophrenic off meds:**

Schizophrenic-3

Rapist-7

**Schizophrenic on meds:**

Schizophrenic-4

Rapist-6

These numbers surprise me and I'm trying to understand this."
1460,It was partly my fault for stopping my medication at times.
1461,"I wanted to believe that I could do well for myself without the help of medication, but it never lasted."
1462,Have any of you ever had trouble affording treatment or medication for this or other issues?
1463,I've been on meds for a while now and have noticed a lack of sexual urges.
1464,"Thanks in advance for any replies

EDIT: The reason his dad is so bad is because he never got any help or medication, we are just afraid that something is boiling inside of him that he cant help but will get worse if he doesn't get any professional help."
1465,"took some meds, and i snapped out of it in a few days."
1466,"i'm not on meds at all, i just needed them to get out of that crazy episode.. and i mean fucking crazy as shit."
1467,"I've been on so many different types of medicines, I first started with Paxil for just anxiety."
1468,"Then a half year later the voices start, now I've been dragged through hell and back mentally, whether it be from all the meds or from the constant shit talking in my head about myself."
1469,"I'm on 800mg of seroquel, 40mg prozac now, each day blurs together more and more and now I just feel like a fucking medicated, sedated useless piece of shit who can't function with or without medication."
1470,She's no longer on any medication.
1471,"She is currently seeing a psychiatrist and is on medication, but is not receiving any additional support."
1472,"**TL;DR - mom has schizophrenia and is on medication, talks out loud to herself especially when upset, can't talk to her or go out with her, what should I do to help her?"
1473,She then said to NOT take any medication they give me.
1474,"he hates us all and refuses to get help because the last time my father took him to get medication he came back thinking that the doctors ""planted more chips"" in his body."
1475,"he needs new meds, or help or something."
1476,"the one time we actually managed to get him to the hospital the doctors said that he was perfectly fine and that the meds should be working, he was sent home with no changes and the behaviour continued to this day."
1477,Bouncing back and forth off of medication.
1478,The reason I went off of my meds is because...well I couldn't do my job on my medication...I was so groggy and out of it on my pills...I do a very physical job.
1479,They gave him medication but one of the side effects was Gynecomastia so he stopped taking his medication.
1480,He doesn't want to go to the hospital or take any kind of medication because he believes there is nothing wrong with himself.
1481,"Did you feel that once you were diagnosed as schizophrenic, finding the right meds got a little easier?"
1482,I have been on meds for most of my life and nothing seems to help.
1483,"They halted all treatment, medications, contacts."
1484,"About five months ago, I went off of my meds because I started to not enjoy things."
1485,I'm sure he's on medication and he lives with a very loving and supporting family.
1486,I reminded her to take her medicine and she tells me she does (but my sis who lives with her says she doesn't take it).
1487,"I said ""No, Ma, but I really think you should take your medicine""."
1488,"This morning I felt myself come out of it, and shortly after it was time to take my meds again."
1489,"So far, it is working better than the other meds I've been on."
1490,My fiance got put on the Invega Sustenna injection three months ago because he was refusing medication.
1491,"They moved him to another facility, and I've been told that no meds seem to be working on him at this point- that he's agitated and ""very heavily sexually preoccupied""."
1492,"When I expressed my concern that he was having symptoms despite his medication, and that I thought Invega was causing problems, his psychiatrist insisted that he just needed time to adjust to it, and if I was concerned, he would prescribe oral Invega as a supplemental medication."
1493,"It was a slow start but we eventually found some medications that worked for me, the hallucinations and paranoia had subsided, but a couple of days ago I had an episode and it all came back to me."
1494,"The doctor told me the medication would reduce the voices and once I saw the cause and effect of the medication, I believed my doctor."
1495,These meds make me so tired and all I can hear in my head is what poison it is and how I need to never take them again.
1496,"I came across a site which recommends supplements for helping out with the side effects of antipsychotics: http://bettermedicine.info

I noticed that they recommend Tongkat Ali for a better libido."
1497,Does anyone else feel completely normal on their medications?
1498,"However, the alien in my head is warning me about being off my meds."
1499,He implying that it's irresponsible for me to be running around with a free mind and that I would get in so much trouble with the mental health review board because of something I might do while off my meds.
1500,"Like, what is wrong with going about your life off meds with an alien in your head messing around with you?"
1501,"Also, meds don't get rid of the alien."
1502,"So again, what's the point of meds?"
1503,"Though, I've done some more research and I stumbled upon 'secondary schizophrenia' which seems more plausible, for that schizophrenia-like manifestation of symptoms can stem beyond just biological underpinnings; but with medication or illicit substance use, and which more likely for me is environmental stress."
1504,"Nevertheless without continuous medication-taking currently, I am doing significantly a lot better in terms of overall cognitive functioning, coherency and perception-wise speaking."
1505,She had quit taking her meds and became violent.
1506,I'm planning a course of action as her son... but she may even too paranoid to even trust me to get her to take the medication.
1507,"I've been back on meds and while my hallucinations and delusions are mostly under control, my moods have been all sorts of whacked out."
1508,"As a side note, I can't switch meds anytime soon (should I?)"
1509,Hasn't taken his medication in a long time.
1510,He said his medication was laced with poison that would keep him up at night.
1511,"Hello everyone, I'm 22 years old and since I was 18 or something like that, I'm taking meds because my hallucinations started to appear."
1512,My current meds are lithium (900mg) and seroquel (300mg).
1513,"So far, we’ve had minimal luck getting her help and after long bouts of convincing her to seek medical attention, she takes medications for a day or two and then stops returning back to the state of crying and screaming for the duration of the day (among other things)."
1514,"They only time I do read is when I am tired from medication adjustment, or psychotic and scared of something."
1515,"However, my family does not want to risk me being in the house without medicine affecting me, so I need to be somewhere away from home for a while when I'm off the abilify."
1516,I need to stop taking the meds and see if the damage from the weed/speed has been permanent.
1517,He is in meds.
1518,The medication I'm on is Singulair which is used to prevent asthma/allergies.
1519,"I'm on meds for the delusions, and I'm getting better at dealing with it so its faded from what it was, but in social situations I sometimes get thrown back into it."
1520,My psychiatrist hates me because I never take my meds because of this denial (why take meds for something that isn't there?!)
1521,and maybe I should go back to psychiatrist and get back on meds but not if none of this is real illness...
1522,"Since then, he's had a number of what you might call ""psychotic breaks"" (all of which correlate with him coming off his medication and restarting weed smoking.)"
1523,"Moral of the story, don't smoke weed when you're unstable and not on meds"
1524,"I've had a psychotic episode that lasted 2 days:

* auditive hallucination (hospital sounds I've never heard before in my life)
* smelled like hospital medicine or something; when I approached people that probably had a sweet smelling perfume it would smell like lavender room spray
* made me freak out, I thought I was in a coma in reality

It stopped after 2 days."
1525,"I've had an other one that lasted 1 day(4 months later):

* smelled like incense, Initially I freaked out thinking I'm in hell, but I stopped thinking that because it would've caused some terrible paranoid decisions

Then it stopped (again, without taking medicine) then I went to see the doctor again, took zyprexa for 6 months till this day and I'm still taking it."
1526,I gained about 13kg on my medication.
1527,The mainline medication is Abilify 10mg daily now.
1528,He offered me cash (we live together) for my anxiety and my pain meds.
1529,"I told him that I was hurt, that he sees me bent over in pain.. yet instead of saying, ""Hey baby, do you need your medicine?"".."
1530,"I have never, ever shared medicine with him."
1531,"I brought it up today, that I was sad that he would be ok with taking pain medicine from me (I didn't have any, but he would have if I did) while I was suffering so much."
1532,"I told him that if he loves me, as much as he says he does (we have been talking marriage).. that he would say, ""Baby, ease your suffering with YOUR medicine""."
1533,A third person mentioned that if I don't take my medication I am a danger to people around me and should be locked up.
1534,Even if he took medication and was otherwise well.
1535,I took my meds and i cant think that well right now.
1536,"He happily discussed medicine with my mother, as I was crying in the back seat, with Jack right in my ear."
1537,So I have been on meds for about a week now.
1538,"My therapist said otherwise and said to go see a psychiatrist and get officially diagnosed (been seeing her five years and have been concerned about positive symptoms for a year)
I have taken meds before with bad side effects and she said i manage the illness well
Any advice?"
1539,I'm worried meds will diminish my ability to play and improvise music on the guitar but i can look back and see how the illness effects my ability to function.
1540,"I feel much better with medication, but I suffer from affective blindness."
1541,Has anyone tried any medication that can get rid of this symptom.
1542,"Just wondering, because I noticed that my medication (neuroleptics) makes me want to smoke more."
1543,I stopped taking my meds yesterday because I decided I wanted to hear their message that I can't while on meds.
1544,"They have something important to say to me, I know it, but I can't hear them with the meds, it's poision to their words."
1545,"More precisely, as medications and other treatments are being developed, are the psychiatrists/other scientists monitoring patients subjectively to see if there is improvement/change during treatment testing?"
1546,Could monitoring these wavelets and their change before and after medication show whether the medication is working?
1547,He returned after a few years (after wandering many cities as a destitute) and refuses to take any medication.
1548,"Since he is paranoid, he suspects the relatives mix medicines in his food and inspects it thoroughly before consuming."
1549,Is there a way to convince him about medication being good for him?
1550,He is calmer when he takes medicines.
1551,I was also(for like a month) under the impression that all of the meds I am on(abilify and certraline) are placebos considering they don't seem to be working at all and I am just as bad as I was when all this started a year and a bit ago(I am 17 now).
1552,She accuses me of stealing her food and of bringing strange men into my room at night to rape her... She's generally well-kempt and she's on medication but I don't know how many more nights I can go without sleep because she's so verbal and noisy.
1553,"The majority of the time my mother is on her medication and ""fine"" beyond some of the side effects from the meds."
1554,"Within 24 hours of being admitted and on whatever medication they had her on she began to come out of it, feel extreme regret at stopping her medication and was very apologetic."
1555,When she is medicated she is aware of the illness and 100% clear that she does not want to be off her meds and always regrets going off them when she relapses.
1556,She's supposed to be taking a synthetic thyroid medication daily but we're not completely convinced that she does.
1557,"I'm trying to convince my husband that his mother needs professional help, and that if we get her on the right medicine regime that there is STILL HOPE FOR HER!"
1558,"We did have to send him to the hospital once, because he wasn't taking any medicine at all, and wasn't eating at all."
1559,Is there treatment and medication for hypochondria?
1560,I take my meds and it's not gone.
1561,"I'm currently not on medication, but I've been prescribed Abilify."
1562,The voices have faded once again due to effective medication.
1563,"They're reaching out, because the medication is blocking how they normally communicate."
1564,I take meds.
1565,Whats to do but take meds and go through life not being able to concentrate or talk to people at all..
1566,"I am taking medication for anxiety and depression, and both conditions have improved greatly, possibly as a result of the meds or just from time/changes in circumstances."
1567,"If anyone could please post what a normal day is to you, what bad days are like, common medications used, small things that happen to you that are so minuscule that you hardly notice them anymore that are a part of the illness."
1568,I'm trying to be more alert when I wake up so I'm having dinner earlier around 6:00 and taking meds around 9:00pm.
1569,"Some of these things have lessened since I've been on the meds, but others are still there, and I didn't tell my doctor about most of it because all of it (except the hypochondria and fixation on weird scenarios) seemed normal."
1570,"He refuses to take his medication properly because ""it makes him feel like a vegetable""."
1571,"I thought it was the medication, but it turns out I developed a caffeine sensitivity with the onset of my schizophrenia."
1572,I used to drink it to help combat the drowsiness from medication.
1573,I read online that if you eat a 500 calorie meal before you take your medicine it helps absorb it.
1574,I do not have enough of my medication to do it because I've been taking and it is whittling down to an insignificant amount.
1575,"I hear people talking about all the time, and since I take an injection for medication I am sure that great deal of what I am hearing is what people are actually saying."
1576,How long do you lot sleep for and what medication do you take?
1577,"Hi guys,

I am diagnosed with schizophrenia and severe mood swings (although they go hand in hand a lot I've heard), and my psychiatrist gave me Olanzapina for medication."
1578,"However, this medication makes me super tired all day, which is very hard to combine with my full time study."
1579,"I was wondering if you may have advise on a different medicine (available in Europe), or any advise how to handle these side-effects."
1580,"Weed has been my medication to cure my depression for years now I'm constantly depressed and annoyed, extremely anoyed."
1581,I wish there was some medication that could make me feel so aware and alive without all the psycho delusions.
1582,Then I went off both meds and soon had another- scarier belief.
1583,"I gradually feel at ease with this, sometimes believing ,sometimes not, but I just carry on
(What makes me question the realty is from taking meds that vanished past beliefs)

Thank you for reading, I just needed to vent."
1584,"I want what she's going through to be realistic and accurate, down to the medication she takes and the way her illness affects her personality and views on the world."
1585,They apparently cannot get any more medicine because their psychiatrist is not around and only they can prescribe them more.
1586,"I do not understand how this is possible, nor do I understand how they have run out of their anti-psychotic medicine."
1587,We live in the same country and healthcare/medication is free here.
1588,At one point he said he forgot his meds at his gfs house and needed to go back.
1589,"So in short, major symptoms I show are 
*paranoia to a degree
*I tend to go off on tangents/have disorganized or unassociated thoughts
*I tend to be forgetful
*insomnia, although this could be due to my ADHD medication
*I read somewhere that ""movement is sped up."
1590,I told my mom that the medicine was making me worse and I refused to take it any longer.
1591,She then called the police and told them that I would not take the medicine.
1592,When they got there they asked to see the medicine and told me that they weren't going to force me to take it.
1593,"If anyone has any idea to why I experienced what I did, whether they think it was from quitting smoking and my medicine, I would appreciate the input."
1594,Now I'm a week off the meds and I feel great.
1595,"I know I might soon fall into sadness and bad hallucinations again, but for now, I'm glad I'm not on any meds."
1596,"From what I understand, he has rough relationships with his family and refuses medication because he believes the voices help him understand the world and he’s trying to make people wake up and “be Love”."
1597,"After three times admitting to hospital for medication, I am now delusion-free and symptom-free."
1598,My medication now is Abilify 5mg and Effexor XR 37.5mg every morning (minimal dose available).
1599,"He is an American journalist and author, writing primarily about medicine and science."
1600,"Updating for those that read my last post about wanting to switch from haldol :

I went to see my doc and asked for a change in meds and she hit me with some hard news that's leaving me kind of screwed."
1601,"(it was a private practice and just her ) 

I didn't get to change my meds because of it."
1602,Off to a new state and I am now without the proper meds and without any therapy or doctor what-so-ever.
1603,I don't know how long I'll be waiting for new meds but I feel screwed.
1604,No new meds.
1605,"In the beginning I convinced myself that I didn't need my meds anymore, that I didn't need to see the doctor anymore, and that I was fine."
1606,"I slowly took myself off my meds without my parent's knowledge, and then flat out refused to visit the psychiatrist / therapist."
1607,"Depression, anxiety, psychosis, paranoia, everything is there, even on the meds."
1608,"Since going off my meds they have all severely increased in intensity, to the point where I am literally tearing my room apart for bugs, sitting up all night because of hallucinations, and having terrible dreams causing me to wake every 30 minutes."
1609,I have meds on hand if any of the symptoms start coming back and will take them.
1610,"He said between Bipolar, schizo-affective, and Schizophrenia are all treated with the same medication."
1611,Off meds.
1612,I'm off meds.
1613,I want my meds back NOW.
1614,That I've just been taking medicine to make my ability to hear them disabled.
1615,"Just forget that I'm off meds, forget that I've heard voices in the past."
1616,"One hand, I know they're not real, I know I need meds, I know I have this disease and from the experience of time and time again stopping my meds, they always come back, so I know I have this disease."
1617,"I just want to be medicated and healthy like I was earlier this week, before my meds were cut off."
1618,I had it since I started getting the shot of medication but now I feel like I'm all messed up.
1619,"But when she is paranoid, she thinks the doctors would just deny her truth and give her meds to suppress it."
1620,"I think it's absolutely horrible that I have to spend hours driving to a hospital to be examined for possible medication, just so I could wait 4 months for a simple reply."
1621,"Then I go back to the clinic to talk about medication and they ridicule what I've told them by saying I am just ""shy"" and that I need to take allergy pills so I can sleep better."
1622,I am not on any medication.
1623,I am not a fan of the medication because it makes me feel like a zombie.
1624,I'm scared of the medication they want me to take because of the disastrous results as a teen.
1625,"When he's clean and on his medication, he's ok. Obviously a little off from the medication and long-term drug abuse, but I got to see him as an intelligent, funny man."
1626,"My boyfriend was diagnosed with schizophrenia several years ago, and has been on medication and doing relatively well since then."
1627,"I'm tired of missing school, and I'm tired of somewhat reduced concentration while on this medication (not sure whether it's due to the illness or the medication, though), so I want to try Abilify, which I heard doesn't cause sedation in most cases and increases cognitive abilities such as concentration and overall academic achievement, at least based on the case study I've read."
1628,"I miss lots of classes, can't do my homework on time (because I sleep all the time) and have reduced personal time due to the sedation caused by this medication."
1629,"Sometimes I get this weird thinking that If I can withstand this illness or whatever mental disease I have without meds for a certain period of time ""I'll make it through"" so to say."
1630,I run away from responsibilities and hope that my meds will make me change.
1631,"Until then, any happy stories from people who don't respond to medication ?"
1632,I take a low dose of anti-psychotic and had been symptom free for 5 years until I gradually stopped taking my meds last year and had a relapse.
1633,I am back on my meds for a few months now and I am ok. For the past decade I have worked in software as a developer and I am considered to be at the top of my profession.
1634,My doctor gave me the prognosis that on medication I can do anything.
1635,And told me not to feel constrained by the fact of having to take medication.
1636,This was one of the reason my doctor agreed that I try to go off medication.
1637,My symptoms haven’t manifested themselves when I am on medication.
1638,I'm 15 and only recently started meds..
1639,"In the beginning, I only heard mumbling voices, saying things I couldn't hear clearly but just after I started taking medicine, it changed."
1640,"Anyways, just wanted to post an update/ something positive about meds."
1641,"I sometimes feel like I want to go off the meds because I feel so great, but I know that's just another symptom and I'll end up sick again."
1642,"Other than drowning her in medications, which she has been overweight and severely lethargic as far back as I can remember; has anyone found anything successful in easing delusions, stress, and in general increasing general happiness?"
1643,"The medication I was on in the past caused more emotional ups and downs to say that they helped much, especially considering they really didn't get rid of the hallucinations."
1644,"I don't know if the meds can cause this, but it happens every night without fail after taking 'em."
1645,I'm stuck paralyzed listening to screams until I disappear from the medication.
1646,I asked my doctor if the medication can cause hallucinations and he said no.
1647,"I used to hear voices 24/7 nearly nonstop, but I guess the medication is being effective at this point."
1648,I'm gonna start on a low dose of that next week in addition to seroquil and welbutrin and anxiety meds.
1649,"I've been on antipsychotic medication the last month, but it doesn't seem to be helping, and my grip on sanity seems to be slipping by the day."
1650,"Nightmares are coming back, it's hard to eat enough so I don't feel sick, and my medication abuse is as bad as it was when I left."
1651,"I've never had therapy or a psychologist, or even meds of any kind."
1652,I had positive symptoms for a little over 6 months before I started taking medication.
1653,"So I stopped taking my meds a week ago and so far, so good."
1654,"If you stopped taking your meds, how long did it take for your symptoms to come back?"
1655,Or has anyone stopped taking meds and symptoms never came back?
1656,"I called my psychiatrists office today to schedule an emergency appointment (ALL of my medication has been causing me to have severe panic attacks and possibly making my derealization worse) and I was told he was on vacation out of the country, and he didn't have a stand in doctor."
1657,"How do you feel about those who refuse to take medication because it's part of ""big pharma trying to suppress free thought""?"
1658,"Assuming I stay sober and use my meds as recommended, will I eventually get better and not need the pills anymore?"
1659,"I really hate how the meds make me feel and would like to be off them ASAP, but I'm told I'll need at least 6 months with no symptoms before titration is considered."
1660,There were some ups and downs  depending on if he took his meds or not.
1661,"Hey all, I think my medication (Risperidone) is causing me to lose interest in leisure activities (video games, browsing the Internet, etc.)."
1662,"I am almost certain it is the medication that is the culprit because I stopped taking my medication for a while, and after several weeks I was able to enjoy things as I used to."
1663,"If you don't mind me asking, which medications did you experience this with, and have you found a third option -- one that doesn't involve perpetual boredom or going to the hospital?"
1664,I'm skipping my meds today.
1665,"I feel sick to my stomach, like I've been hurting the voices by taking meds and it has to stop."
1666,"I've had a diagnosis in the past of Bipolar disorder but I left out these 'delusions', I don't like medicine it doesn't let me think."
1667,"The main issue I'm having is that she told me she stopped taking her meds, almost a year ago."
1668,"Sorry this is all over the place, and semi-venting, but one, what are some long term effects of not taking her meds?"
1669,She's not taking her schizo meds.
1670,"Even though it's not working, I'm afraid to switch medications because I like that saphris doesn't give me any side effects."
1671,"So, my question is what medication do you take to control your visual hallucinations and do you have any side effects?"
1672,Has anyone here had their medication stop working?
1673,"For example,I thought that I had discovered an accurate model of human sensory systems, and that it could be applied to creating new therapies/medicine for autism and schizophrenia, etc."
1674,"Since that time, he has sort of stablized, is taking meds, has a part time job, etc."
1675,"My kid is working so fucking hard to just put his life in some sort of order, he has zero acceptance of his illness but does agree that meds and therapy make him feel better."
1676,"He didn't really tell me what to do in the meantime if I get symptomatic, and I don't know that I will because it isn't a long period of time without meds, just a bit over a week."
1677,"I'm not sure what to expect, I haven't gone cold-turkey off meds or been off meds for any period of time in the last 6 months."
1678,"He took medicine early on, but not regularly or for any extended period of time."
1679,"He's delusional, depressed, anxious, and isolates himself as much as possible, but my family want to support his autonomy (including the decision about medication) as long as he doesn't seem to be a danger to himself or others."
1680,Any recommendations for support/help we can provide without him taking meds?
1681,"Ask your doctor why your meds ""work"" or don't work, they have no clue... Why is psychiatry so behind when psychiatric illnesses can literally disable you as badly as not being able to walk?"
1682,Apparently this is one of the best meds for managing auditory hallucinations.
1683,"she wont get diagnosed, is not on medication because she says it will kill her."
1684,"The patient was willing to go, partly because they realized they were out of medication, but was very apprehensive about my partner and myself."
